hour,fluid,used_coolprop,T_evap_sat_K,T_cond_sat_K,P_evap_kPa,P_cond_kPa,h1,h2s,h2,h3
90,R134a,1,-1215612572608394282735272722432.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
91,R134a,0,4132100504214657319250857820160.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
92,R134a,1,-11786895785538397380938238525440.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
93,R134a,0,30802742086285677968227982901248.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
94,R134a,1,-74382913736710116166469337219072.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
95,R134a,0,170737969810189994289388071157760.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
96,R134a,1,-376008893043391884526864023158784.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
97,R134a,0,797035245021810936274064408313856.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
98,R134a,1,-1624972361345765191316246687121408.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
99,R134a,0,3170665821532512627995438200389632.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
100,R134a,1,-5852356474272670274957164731695104.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
101,R134a,0,9972438779223061503716793849479168.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
102,R134a,1,-14748773707254704216692256785039360.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
103,R134a,0,16157360107934233160476267366055936.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
104,R134a,0,1643336738761351007295359814729728.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
105,R134a,1,-85008913615668255190911511775150080.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
106,R134a,0,354070917278211798037554697336782848.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
107,R134a,1,-1101904651095163094766298886916014080.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
108,R134a,0,3005523160013600912894413285552553984.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
109,R134a,1,-7558724306384401887926179793603657728.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
110,R134a,0,17943663700719094031627064759969382400.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
111,R134a,1,-40750540629583169803995295652046176256.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
112,R134a,0,89368681545464514240317311187882606592.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
113,R134a,1,-190590540667934260277279874022958432256.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
114,R134a,0,397736062229131194014147975408988979200.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
115,R134a,1,-808267201762399979624425933087312969728.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
116,R134a,0,1644942754008810573347838451651304226816.000000,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
117,R134a,1,-3363396518967554263040178246991992586240.000000,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
