step,T_source_out_C,T_return_C,COP,Q_out_kW,P_el_kW,Q_geo_kW,model,T_tank_C,HP_on,Q_space_req_kW,Q_dhw_req_kW,Q_space_served_kW,Q_dhw_served_kW,Q_unmet_kW,flow_kgps,dP_kPa,P_pump_kW
57,-7224936391331463168.0000,-7224936391331463168.0000,0.0000,0.0000,0.0000,58531959359677022208.0000,CP,30.0000,1,128.4000,0.3000,0.0000,0.0000,128.7000,10.8640,1058.7554,16.4813
58,18183056259822944256.0000,18183056259822944256.0000,8.0000,102.4771,12.8096,-147691684814810415104.0000,FB,30.0000,1,125.5200,0.3000,101.9771,0.3000,23.5429,10.7104,1031.9068,15.8363
59,-40921506590569603072.0000,-40921506590569603072.0000,0.0000,0.0000,0.0000,333068390911979028480.0000,CP,30.0000,1,123.0400,0.3000,0.0000,0.0000,123.3400,10.5781,1009.0376,15.2941
60,83167934228818411520.0000,83167934228818411520.0000,8.0000,100.2522,12.5315,-678286263404612419584.0000,FB,30.0000,1,121.1600,0.3000,99.7522,0.3000,21.4078,10.4779,991.8561,14.8912
61,-150921479181587152896.0000,-150921479181587152896.0000,0.0000,0.0000,0.0000,1233764407371239260160.0000,CP,30.0000,1,119.9600,0.3000,0.0000,0.0000,120.2600,10.4139,980.9591,14.6376
62,233163675549470523392.0000,233163675549470523392.0000,8.0000,99.4358,12.4295,-1913030382215786921984.0000,FB,30.0000,1,119.5600,0.3000,98.9358,0.3000,20.6242,10.3925,977.3388,14.5537
63,-256923210406590873600.0000,-256923210406590873600.0000,0.0000,0.0000,0.0000,2128442162514177818624.0000,CP,30.0000,1,120.0000,0.3000,0.0000,0.0000,120.3000,10.4160,981.3214,14.6460
64,-29574479609397694464.0000,-29574479609397694464.0000,0.0000,0.0000,0.0000,156914046693481218048.0000,CP,30.0000,1,121.2000,0.3000,0.0000,0.0000,121.5000,10.4800,992.2203,14.8997
65,1337916443032049156096.0000,1337916443032049156096.0000,8.0000,101.2524,12.6566,-10711066766072105402368.0000,FB,30.0000,1,123.1200,0.3000,100.7524,0.3000,22.3676,10.5824,1009.7717,15.3114
66,-5475956208864271007744.0000,-5475956208864271007744.0000,0.0000,0.0000,0.0000,44201621714136912101376.0000,CP,30.0000,1,125.6000,0.3000,0.0000,0.0000,125.9000,10.7147,1032.6484,15.8540
